INPUT;SMILES;Clasificacion_ATS;LogP;Peso_Molecular;NumHAcceptors;NumHDonors;Dobles_Enlaces;Triples_Enlaces;Numero_hidroxilos;Numero_carboxilos;MACCS;MACCS_array;ECFP
Triethyl citrate;CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC;Inactivo;0.18700000000000006;276.12090298000004;7;1;3;0;1;3;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C25FF94F90>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0
 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 1 0 1 1 1 1 0 0 0 0 1 0
 0 1 0 0 1 1 1 1 0 1 0 1 1 0 0 0 1 0 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C260236350>
4-Pentylaniline;CCCCCC1=CC=C(N)C=C1;Activo;3.001500000000001;163.136099544;1;1;0;0;0;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C25FFDC040>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1
 0 0 0 1 0 0 0 1 1 0 1 0 1 1 1 1 0 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C2602363C0>
Fenoxaprop-(2S)-ethyl;CCOC(=O)[C@H](C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1;Activo;4.603900000000004;361.071700292;6;0;1;0;0;1;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C25FFDC0B0>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 1 1 1 1 1 1
 0 0 1 1 0 0 1 0 0 1 1 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 1 0
 0 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C260236430>
o-(Chloroacetylcarbamoyl)fumagillol;CO[C@@H]1[C@@H](CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C)OC(=O)NC(=O)CCl;Activo;2.5544000000000002;401.16051529599997;6;1;3;0;0;1;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C25FFDC120>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0
 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0 0 0 1 1 1 1 0 1 1 1
 1 1 0 0 0 1 1 1 0 1 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 1 1 1 0 1 1 0 1 0 0 1 1
 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C2602364A0>
3,5,5-Trimethylhexyl acetate;CC(CCOC(C)=O)CC(C)(C)C;Inactivo;3.0119000000000016;186.161979944;2;0;1;0;0;1;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C25FFDC190>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1
 0 1 0 0 0 1 1 1 0 1 0 1 1 0 0 0 1 0 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C260236510>
Sodium hexyldecyl sulfate;[Na+].CCCCCCCCCCCCCCCCOS([O-])(=O)=O;Activo;1.948499999999999;344.19972481599996;4;0;2;0;0;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C25FFDC200>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0
 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0 1 0 1 1 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1
 1 0 0 0 0 1 0 1 0 1 0 1 1 0 0 0 1 0 1]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C260236580>
Triethylene glycol bis(3-tert-butyl-4-hydroxy-5-methylphenyl)propionate;CC1=CC(CCC(=O)OCCOCCOCCOC(=O)CCC2=CC(C)=C(O)C(=C2)C(C)(C)C)=CC(=C1O)C(C)(C)C;Inactivo;5.9946400000000075;586.35056856;8;2;2;0;2;2;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C25FFDC270>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
 0 1 1 0 0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 0 1 1 0 0 0 1 0 1 1 1 1 0 1 1 1 1 1
 0 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C2602365F0>
2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate;FC(F)(F)OCCOS(=O)(=O)C(F)(F)F;Inactivo;1.389;261.97344892800004;4;0;2;0;0;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C25FFDC2E0>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 1
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0
 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 1 1
 1 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C260236660>
Ethyl decanoate;CCCCCCCCCC(=O)OCC;Activo;3.6902000000000026;200.177630008;2;0;1;0;0;1;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C25FFDC350>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 1 0 0 0 1 1 1 0 1 0 1 1 0 0 0 1 0 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C2602366D0>
Tetradonium bromide;[Br-].CCCCCCCCCCCCCC[N+](C)(C)C;Activo;2.3976999999999995;335.218762316;0;0;0;0;0;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C25FFDC3C0>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
 1 1 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1
 1 1 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 1]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C260236740>
2-Phenylethyl phenylacetate;O=C(CC1=CC=CC=C1)OCCC1=CC=CC=C1;Inactivo;3.0150000000000015;240.115029752;2;0;1;0;0;1;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C25FFDC430>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
 0 0 0 0 0 1 1 1 0 1 0 1 0 0 1 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C2602367B0>
Propylsilanetriyl triacetate;CCC[Si](OC(C)=O)(OC(C)=O)OC(C)=O;Inactivo;1.0246;248.071614762;6;0;3;0;0;3;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C25FFDC4A0>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0
 0 1 0 1 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 1
 1 1 0 0 0 1 1 1 0 1 0 1 1 0 0 0 1 0 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C260236820>
2-Butyloctan-1-ol;CCCCCCC(CO)CCCC;Activo;3.755500000000003;186.198365452;1;1;0;0;1;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C25FFDC510>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C260236890>
2,6-Di-tert-butyl-4-[(dimethylamino)methyl]phenol;CN(C)CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C;Activo;4.0488000000000035;263.224914548;2;1;0;0;1;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C25FFDC580>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0
 1 1 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C260236900>
Cerivastatin sodium;[Na+].COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(N=C1C(C)C)C(C)C;Activo;0.5500000000000003;481.224045656;6;2;2;0;2;1;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C25FFDC5F0>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 1 1 1 0
 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 0 1 1 1 0 0 1 1 1 0
 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C260236970>
(-)-Ambroxide;C[C@@]12CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]1CCO2;Activo;4.408000000000004;236.21401551600002;1;0;0;0;0;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C25FFDC660>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1 0
 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1
 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C2602369E0>
