INPUT;SMILES;LogP;Peso_Molecular;NumHAcceptors;NumHDonors;Dobles_Enlaces;Triples_Enlaces;Numero_hidroxilos;Numero_carboxilos;MACCS;MACCS_array;ECFP;ECFP_array;TPSA;NumRotatableBonds;Clasificacion_ATS;LogP_scaled;Peso_Molecular_scaled;TPSA_scaled;NumRotatableBonds_scaled;Dobles_Enlaces_scaled;NumHAcceptors_scaled;NumHDonors_scaled
1,2-Dibromo-2,4-dicyanobutane;BrCC(Br)(CCC#N)C#N;2.34236;263.889772392;2;0;0;2;0;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B92ADAC0>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B9510F20>;[0 0 0 ... 0 0 0];47.58;3;1;-0.223581147464587;-0.17323370732818413;-0.10055392437410514;0.125;0.0;0.06666666666666667;0.0
Dodecyl 2-methylacrylate;CCCCCCCCCCCCOC(=O)C(C)=C;5.026600000000005;254.2245802;2;0;2;0;0;1;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B92B2BA0>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0
 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 1 0 0 0 1 1 1 0 1 0 1 1 0 0 0 1 0 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B9514040>;[0 1 0 ... 0 1 0];26.3;12;0;0.964385922978053;-0.24191799014142978;-0.6121390419508841;0.5;0.16666666666666666;0.06666666666666667;0.0
L-Tartaric acid;O[C@H]([C@@H](O)C(O)=O)C(O)=O;-2.1226;150.016437912;4;4;2;0;4;2;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B94C4200>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0
 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B9525660>;[0 1 0 ... 0 0 0];115.06;3;0;-2.199643441016416;-0.9824579995037114;1.521709408994365;0.125;0.16666666666666666;0.13333333333333333;0.2222222222222222
SSR69071;COC1=CC2=C(C(=O)N(COC3=CC(=O)N4C=CC=C(OCCN5CCCCC5)C4=N3)S2(=O)=O)C(=C1)C(C)C;2.872200000000002;556.199170364;10;0;4;0;0;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B92A73C0>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 1 0 0 0 1 0 1 0 0 0 0 0 1
 1 1 0 1 0 0 1 1 0 1 0 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 0 0 1 1
 1 1 1 0 0 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1
 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B950A820>;[0 1 1 ... 0 0 0];119.75;9;1;0.010910728300370527;1.9040205221217426;1.6344600763550368;0.375;0.3333333333333333;0.3333333333333333;0.0
Sodium xylenesulfonate;CC1=C(C=C(C=C1)S(=O)(=O)[O-])C.[Na+]Â ;-1.7884599999999984;208.017009428;3;0;2;0;0;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B94CFB30>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 1 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0 0 1 1 1 1 0 0 1 0 0 1 0 0 0 0 0 1
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0
 1 1 1 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B9530F90>;[0 0 0 ... 0 0 0];57.2;1;0;-2.0517627310509488;-0.5702853723900775;0.13071716731238997;0.041666666666666664;0.16666666666666666;0.1;0.0
Perfluorooct-1-ene;FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;5.802800000000002;399.97445152;0;0;1;0;0;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B92B0DD0>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B9504270>;[0 0 0 ... 0 0 0];0.0;5;0;1.3079096168644315;0.7938322756445974;-1.2444082427154182;0.20833333333333331;0.08333333333333333;0.0;0.0
1,2-Benzenedicarboxaldehyde;O=CC1=CC=CC=C1C=O;1.3116;134.036779432;2;0;2;0;0;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B92BC4A0>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0
 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B951D900>;[0 0 0 ... 0 0 0];34.14;2;0;-0.6797657425564766;-1.0960151187514646;-0.42366031442259705;0.08333333333333333;0.16666666666666666;0.06666666666666667;0.0
Triethanolamine;OCCN(CCO)CCO;-1.734699999999999;149.10519334;4;3;0;0;3;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B94C8970>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0
 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1
 1 0 0 0 0 1 0 1 0 1 1 1 0 1 0 0 1 0 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B9529DD0>;[0 0 0 ... 0 0 0];63.93000000000001;6;0;-2.027970108294789;-0.9889336265426736;0.29251076887685074;0.25;0.0;0.13333333333333333;0.16666666666666666
Dodecylbenzene sulfonate triethanolamine(1:1);CCCCCCCCCCCCC1=CC(=CC=C1)S(=O)(=O)O.C(CO)N(CCO)CCO;3.662000000000003;475.2967591599999;6;4;2;0;4;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B94CFE40>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 1 1 0 0 1 0 0 1 0 1 0 0 0 1
 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 0 1 1 0
 1 1 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 1 1 1 1 1 0 0 0 1 0 1 1 1 0 0 0 0 0 1 1
 1 0 0 0 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B95312E0>;[0 0 0 ... 0 0 0];118.3;18;1;0.36045338925304116;1.3290993016199504;1.5996011280239122;0.75;0.16666666666666666;0.2;0.2222222222222222
4'-(Chloroacetyl)acetanilide;CC(=O)NC1=CC=C(C=C1)C(=O)CCl;2.0665;211.04000624;2;1;2;0;0;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B92B0B30>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B9503F90>;[0 0 0 ... 0 0 0];46.17;3;1;-0.34566881326656684;-0.5488028851457154;-0.13445124654437096;0.125;0.16666666666666666;0.06666666666666667;0.05555555555555555
Cerivastatin sodium;[Na+].COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(N=C1C(C)C)C(C)C;0.5500000000000003;481.224045656;6;2;2;0;2;1;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B9285EB0>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 1 1 1 0
 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 0 1 1 1 0 0 1 1 1 0
 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B94FE200>;[0 1 0 ... 0 0 0];102.71;11;1;-1.01682789826875;1.3712207011657733;1.22480733182927;0.4583333333333333;0.16666666666666666;0.2;0.1111111111111111
Profenofos;CCCSP(=O)(OCC)OC1=C(Cl)C=C(Br)C=C1;5.7691000000000034;371.93514175;4;0;1;0;0;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B92AE9E0>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0
 0 1 1 1 1 0 0 1 0 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 1
 1 1 1 0 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B9511E40>;[0 0 0 ... 1 0 0];35.53;7;1;1.2929949705310502;0.5945749982026715;-0.3902438053327605;0.29166666666666663;0.08333333333333333;0.13333333333333333;0.0
2,4,6-Triiodophenol;OC1=C(I)C=C(I)C=C1I;3.2060000000000004;471.7318087160001;1;1;0;0;1;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B94C3C80>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0
 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002A0B9525120>;[0 0 0 ... 0 0 0];20.23;0;1;0.15864096408917874;1.3037654996999473;-0.7580658118611777;0.0;0.0;0.03333333333333333;0.05555555555555555
