INPUT;FOUND_BY;DTXSID;PREFERRED_NAME;VERIFICACION ;SMILES;MOLECULAR_FORMULA;AVERAGE_MASS;iupac_name;iupac_name_SMILES;Validación IUPAC;verificación manual
1-(p-Chlorobenzoyl)-5-methoxy-2-methyl-Indole-3-acetic acid;Approved Name;DTXSID9020740;1-(p-Chlorobenzoyl)-5-methoxy-2-methyl-Indole-3-acetic acid;0;COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O;C19H16ClNO4;357.79;2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid;2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid;0;NO
1-(Perfluorofluorooctyl)propane-2,3-diol;Approved Name;DTXSID80881157;1-(Perfluorofluorooctyl)propane-2,3-diol;0;OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;C11H7F17O2;494.148;4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-heptadecafluoroundecane-1,2-diol;4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-heptadecafluoroundecane-1,2-diol;0;NO
1-(Perfluorohexyl)octane;Approved Name;DTXSID20440585;1-(Perfluorohexyl)octane;0;CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;C14H17F13;432.269;1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluorotetradecane;1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluorotetradecane;0;NO
1,1,1-Trimethylolpropane trimethacrylate;Approved Name;DTXSID3027530;1,1,1-Trimethylolpropane trimethacrylate;0;CCC(COC(=O)C(C)=C)(COC(=O)C(C)=C)COC(=O)C(C)=C;C18H26O6;338.4;2,2-bis(2-methylprop-2-enoyloxymethyl)butyl 2-methylprop-2-enoate;2,2-bis(2-methylprop-2-enoyloxymethyl)butyl 2-methylprop-2-enoate;0;NO
1,1,3,3,5-Pentamethyl-4,6-dinitro-2,3-dihydro-1H-indene;Approved Name;DTXSID6044519;1,1,3,3,5-Pentamethyl-4,6-dinitro-2,3-dihydro-1H-indene;0;CC1=C(C=C2C(=C1[N+]([O-])=O)C(C)(C)CC2(C)C)[N+]([O-])=O;C14H18N2O4;278.308;1,1,3,3,5-pentamethyl-4,6-dinitro-2H-indene;1,1,3,3,5-pentamethyl-4,6-dinitro-2H-indene;0;NO
1,1,3,3-Tetrabutylurea;Approved Name;DTXSID7043902;1,1,3,3-Tetrabutylurea;0;CCCCN(CCCC)C(=O)N(CCCC)CCCC;C17H36N2O;284.488;1,1,3,3-tetrabutylurea;1,1,3,3-tetrabutylurea;0;NO
1,1':3',1''-Terphenyl;Approved Name;DTXSID2029117;1,1':3',1''-Terphenyl;0;C1=CC=C(C=C1)C1=CC(=CC=C1)C1=CC=CC=C1;C18H14;230.31;1,3-diphenylbenzene;1,3-diphenylbenzene;0;NO
1,1-Dimethylpiperidinium chloride;Approved Name;DTXSID1024170;1,1-Dimethylpiperidinium chloride;0;[Cl-].C[N+]1(C)CCCCC1;C7H16ClN;149.66;"1,1-dimethylpiperidin-1-ium;chloride";"1,1-dimethylpiperidin-1-ium;chloride";0;NO
1,1-Methylenebis(4-isocyanatocyclohexane);Approved Name;DTXSID3027588;1,1-Methylenebis(4-isocyanatocyclohexane);0;O=C=NC1CCC(CC2CCC(CC2)N=C=O)CC1;C15H22N2O2;262.353;1-isocyanato-4-[(4-isocyanatocyclohexyl)methyl]cyclohexane;1-isocyanato-4-[(4-isocyanatocyclohexyl)methyl]cyclohexane;0;NO
1,2,3,4,5,6-Hexachlorocyclohexane;Approved Name;DTXSID7020687;1,2,3,4,5,6-Hexachlorocyclohexane;0;ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl;C6H6Cl6;290.81;1,2,3,4,5,6-hexachlorocyclohexane;1,2,3,4,5,6-hexachlorocyclohexane;0;NO
1,2,3-Benzotriazole;Approved Name;DTXSID6020147;1,2,3-Benzotriazole;0;N1N=NC2=C1C=CC=C2;C6H5N3;119.127;2H-benzotriazole;2H-benzotriazole;0;NO
1,2,3-Trichlorobenzene;Approved Name;DTXSID8026193;1,2,3-Trichlorobenzene;0;ClC1=CC=CC(Cl)=C1Cl;C6H3Cl3;181.44;1,2,3-trichlorobenzene;1,2,3-trichlorobenzene;0;NO
1,2,3-Trichloropropane;Approved Name;DTXSID9021390;1,2,3-Trichloropropane;0;ClCC(Cl)CCl;C3H5Cl3;147.42;1,2,3-trichloropropane;1,2,3-trichloropropane;0;NO
1,2,4,5-Tetrachlorobenzene;Approved Name;DTXSID7024320;1,2,4,5-Tetrachlorobenzene;0;ClC1=CC(Cl)=C(Cl)C=C1Cl;C6H2Cl4;215.88;1,2,4,5-tetrachlorobenzene;1,2,4,5-tetrachlorobenzene;0;NO
1,2,4-Trimethylbenzene;Approved Name;DTXSID6021402;1,2,4-Trimethylbenzene;0;CC1=CC(C)=C(C)C=C1;C9H12;120.195;1,2,4-trimethylbenzene;1,2,4-trimethylbenzene;0;NO
1,2,5,6,9,10-Hexabromocyclododecane;Approved Name;DTXSID4027527;1,2,5,6,9,10-Hexabromocyclododecane;0;BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br;C12H18Br6;641.7;1,2,5,6,9,10-hexabromocyclododecane;1,2,5,6,9,10-hexabromocyclododecane;0;NO
1,2-Benzenedicarboxaldehyde;Approved Name;DTXSID6032514;1,2-Benzenedicarboxaldehyde;0;O=CC1=CC=CC=C1C=O;C8H6O2;134.134;phthalaldehyde;phthalaldehyde;0;NO
1,2-Benzenedicarboxylic acid, 2-butoxy-2-oxoethyl butyl ester;Approved Name;DTXSID7023938;1,2-Benzenedicarboxylic acid, 2-butoxy-2-oxoethyl butyl ester;0;CCCCOC(=O)COC(=O)C1=CC=CC=C1C(=O)OCCCC;C18H24O6;336.384;2-O-(2-butoxy-2-oxoethyl) 1-O-butyl benzene-1,2-dicarboxylate;2-O-(2-butoxy-2-oxoethyl) 1-O-butyl benzene-1,2-dicarboxylate;0;NO
1,2-Benzisothiazolin-3-one;Approved Name;DTXSID5032523;1,2-Benzisothiazolin-3-one;0;O=C1NSC2=C1C=CC=C2;C7H5NOS;151.18;1,2-benzothiazol-3-one;1,2-benzothiazol-3-one;0;NO
1,2-Dibromo-2,4-dicyanobutane;Approved Name;DTXSID3024944;1,2-Dibromo-2,4-dicyanobutane;0;BrCC(Br)(CCC#N)C#N;C6H6Br2N2;265.936;2-bromo-2-(bromomethyl)pentanedinitrile;2-bromo-2-(bromomethyl)pentanedinitrile;0;NO
1,2-Dibromoethane;Approved Name;DTXSID3020415;1,2-Dibromoethane;0;BrCCBr;C2H4Br2;187.862;1,2-dibromoethane;1,2-dibromoethane;0;NO
1,2-Dichlorobenzene;Approved Name;DTXSID6020430;1,2-Dichlorobenzene;0;ClC1=C(Cl)C=CC=C1;C6H4Cl2;147;1,2-dichlorobenzene;1,2-dichlorobenzene;0;NO
1,2-Dimethyl-3-nitrobenzene;Approved Name;DTXSID7025132;1,2-Dimethyl-3-nitrobenzene;0;CC1=CC=CC(=C1C)[N+]([O-])=O;C8H9NO2;151.165;1,2-dimethyl-3-nitrobenzene;1,2-dimethyl-3-nitrobenzene;0;NO
1,2-Dimethyl-4-nitrobenzene;Approved Name;DTXSID2025133;1,2-Dimethyl-4-nitrobenzene;0;CC1=CC=C(C=C1C)[N+]([O-])=O;C8H9NO2;151.165;1,2-dimethyl-4-nitrobenzene;1,2-dimethyl-4-nitrobenzene;0;NO
1,2-Dinitrobenzene;Approved Name;DTXSID4024066;1,2-Dinitrobenzene;0;[O-][N+](=O)C1=C(C=CC=C1)[N+]([O-])=O;C6H4N2O4;168.108;1,2-dinitrobenzene;1,2-dinitrobenzene;0;NO
1,2-Diphenoxyethane;Approved Name;DTXSID5026706;1,2-Diphenoxyethane;0;C(COC1=CC=CC=C1)OC1=CC=CC=C1;C14H14O2;214.264;2-phenoxyethoxybenzene;2-phenoxyethoxybenzene;0;NO
1,2-Diphenylethanedione;Approved Name;DTXSID3044380;1,2-Diphenylethanedione;0;O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1;C14H10O2;210.232;1,2-diphenylethane-1,2-dione;1,2-diphenylethane-1,2-dione;0;NO
1,2-Diphenylhydrazine;Approved Name;DTXSID7020710;1,2-Diphenylhydrazine;0;N(NC1=CC=CC=C1)C1=CC=CC=C1;C12H12N2;184.242;1,2-diphenylhydrazine;1,2-diphenylhydrazine;0;NO
1,2-Epoxydodecane;Approved Name;DTXSID9025243;1,2-Epoxydodecane;0;CCCCCCCCCCC1CO1;C12H24O;184.323;2-decyloxirane;2-decyloxirane;0;NO
1,2-Phenylenediamine;Approved Name;DTXSID3025881;1,2-Phenylenediamine;0;NC1=C(N)C=CC=C1;C6H8N2;108.144;benzene-1,2-diamine;benzene-1,2-diamine;0;NO
1,3,5-Benzenetricarbonyl trichloride;Approved Name;DTXSID7044429;1,3,5-Benzenetricarbonyl trichloride;0;ClC(=O)C1=CC(=CC(=C1)C(Cl)=O)C(Cl)=O;C9H3Cl3O3;265.47;benzene-1,3,5-tricarbonyl chloride;benzene-1,3,5-tricarbonyl chloride;0;NO
1,3,5-Tribromo-2-(prop-2-en-1-yloxy)benzene;Approved Name;DTXSID3044918;1,3,5-Tribromo-2-(prop-2-en-1-yloxy)benzene;0;BrC1=CC(Br)=C(OCC=C)C(Br)=C1;C9H7Br3O;370.866;1,3,5-tribromo-2-prop-2-enoxybenzene;1,3,5-tribromo-2-prop-2-enoxybenzene;0;NO
1,3,5-Triethylhexahydro-s-triazine;Approved Name;DTXSID1032511;1,3,5-Triethylhexahydro-s-triazine;0;CCN1CN(CC)CN(CC)C1;C9H21N3;171.288;1,3,5-triethyl-1,3,5-triazinane;1,3,5-triethyl-1,3,5-triazinane;0;NO
1,3,5-Trimethylbenzene;Approved Name;DTXSID6026797;1,3,5-Trimethylbenzene;0;CC1=CC(C)=CC(C)=C1;C9H12;120.195;1,3,5-trimethylbenzene;1,3,5-trimethylbenzene;0;NO
1,3,5-Undecatriene;Approved Name;DTXSID9047546;1,3,5-Undecatriene;0;CCCCCC=CC=CC=C;C11H18;150.265;(3E,5E)-undeca-1,3,5-triene;undeca-1,3,5-triene;1;N/A
1,3-Benzenediamine;Approved Name;DTXSID4021137;1,3-Benzenediamine;0;NC1=CC(N)=CC=C1;C6H8N2;108.144;benzene-1,3-diamine;benzene-1,3-diamine;0;NO
1,3-Benzenedicarboxylic acid;Approved Name;DTXSID3021485;1,3-Benzenedicarboxylic acid;0;OC(=O)C1=CC(=CC=C1)C(O)=O;C8H6O4;166.132;benzene-1,3-dicarboxylic acid;benzene-1,3-dicarboxylic acid;0;NO
1,3-Bis(2-isocyanato-2-propyl)benzene;Approved Name;DTXSID4027498;1,3-Bis(2-isocyanato-2-propyl)benzene;0;CC(C)(N=C=O)C1=CC(=CC=C1)C(C)(C)N=C=O;C14H16N2O2;244.294;1,3-bis(2-isocyanatopropan-2-yl)benzene;1,3-bis(2-isocyanatopropan-2-yl)benzene;0;NO
1,3-Bis(isocyanatomethyl)benzene;Approved Name;DTXSID5038919;1,3-Bis(isocyanatomethyl)benzene;0;O=C=NCC1=CC(CN=C=O)=CC=C1;C10H8N2O2;188.186;1,3-bis(isocyanatomethyl)benzene;1,3-bis(isocyanatomethyl)benzene;0;NO
1,3-Butanediol;Approved Name;DTXSID8026773;1,3-Butanediol;0;CC(O)CCO;C4H10O2;90.122;butane-1,3-diol;butane-1,3-diol;0;NO
1,3-Dibromo-5,5-dimethylhydantoin;Approved Name;DTXSID3035341;1,3-Dibromo-5,5-dimethylhydantoin;0;CC1(C)N(Br)C(=O)N(Br)C1=O;C5H6Br2N2O2;285.923;1,3-dibromo-5,5-dimethylimidazolidine-2,4-dione;1,3-dibromo-5,5-dimethylimidazolidine-2,4-dione;0;NO
1,3-Dichloro-2-propanol;Approved Name;DTXSID6025010;1,3-Dichloro-2-propanol;0;OC(CCl)CCl;C3H6Cl2O;128.98;1,3-dichloropropan-2-ol;1,3-dichloropropan-2-ol;0;NO
1,3-Dichloro-5,5-dimethylhydantoin;Approved Name;DTXSID4024985;1,3-Dichloro-5,5-dimethylhydantoin;0;CC1(C)N(Cl)C(=O)N(Cl)C1=O;C5H6Cl2N2O2;197.02;1,3-dichloro-5,5-dimethylimidazolidine-2,4-dione;1,3-dichloro-5,5-dimethylimidazolidine-2,4-dione;0;NO
1,3-Dichloro-5-ethyl-5-methylhydantoin;Approved Name;DTXSID4035839;1,3-Dichloro-5-ethyl-5-methylhydantoin;0;CCC1(C)N(Cl)C(=O)N(Cl)C1=O;C6H8Cl2N2O2;211.04;1,3-dichloro-5-ethyl-5-methylimidazolidine-2,4-dione;1,3-dichloro-5-ethyl-5-methylimidazolidine-2,4-dione;0;NO
1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1);Approved Name;DTXSID9047259;1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1);0;Cl.ClC1=CC2=C(CN3CCCCCC3=N2)C(Cl)=C1;C13H15Cl3N2;305.63;"1,3-dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline;hydrochloride";"1,3-dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline;hydrochloride";0;NO
1,3-Dichlorobenzene;Approved Name;DTXSID6022056;1,3-Dichlorobenzene;0;ClC1=CC(Cl)=CC=C1;C6H4Cl2;147;1,3-dichlorobenzene;1,3-dichlorobenzene;0;NO
1,3-Diisopropylbenzene;Approved Name;DTXSID8026640;1,3-Diisopropylbenzene;0;CC(C)C1=CC(=CC=C1)C(C)C;C12H18;162.276;1,3-di(propan-2-yl)benzene;1,3-di(propan-2-yl)benzene;0;NO
1,3-Dinitrobenzene;Approved Name;DTXSID9024065;1,3-Dinitrobenzene;0;[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O;C6H4N2O4;168.108;1,3-dinitrobenzene;1,3-dinitrobenzene;0;NO
1,3-Diphenylguanidine;Approved Name;DTXSID3025178;1,3-Diphenylguanidine;0;N=C(NC1=CC=CC=C1)NC1=CC=CC=C1;C13H13N3;211.268;1,2-diphenylguanidine;1,2-diphenylguanidine;0;NO
1,3-Propane sultone;Approved Name;DTXSID8021195;1,3-Propane sultone;0;O=S1(=O)CCCO1;C3H6O3S;122.14;oxathiolane 2,2-dioxide;oxathiolane 2,2-dioxide;0;NO
1,4-Benzenediamine dihydrochloride;Approved Name;DTXSID8021141;1,4-Benzenediamine dihydrochloride;0;Cl.Cl.NC1=CC=C(N)C=C1;C6H10Cl2N2;181.06;"benzene-1,4-diamine;dihydrochloride";"benzene-1,4-diamine;dihydrochloride";0;NO
1,4-Benzoquinone;Approved Name;DTXSID6020145;1,4-Benzoquinone;0;O=C1C=CC(=O)C=C1;C6H4O2;108.096;cyclohexa-2,5-diene-1,4-dione;cyclohexa-2,5-diene-1,4-dione;0;NO
1,4-Bis(butylamino)anthracene-9,10-dione;Approved Name;DTXSID5044605;1,4-Bis(butylamino)anthracene-9,10-dione;0;CCCCNC1=CC=C(NCCCC)C2=C1C(=O)C1=C(C=CC=C1)C2=O;C22H26N2O2;350.462;1,4-bis(butylamino)anthracene-9,10-dione;1,4-bis(butylamino)anthracene-9,10-dione;0;NO
1,4-Butanediol;Approved Name;DTXSID2024666;1,4-Butanediol;0;OCCCCO;C4H10O2;90.122;butane-1,4-diol;butane-1,4-diol;0;NO
1,4-Dichlorobenzene;Approved Name;DTXSID1020431;1,4-Dichlorobenzene;0;ClC1=CC=C(Cl)C=C1;C6H4Cl2;147;1,4-dichlorobenzene;1,4-dichlorobenzene;0;NO
1,4-Dihydroxyanthracene-9,10-dione;Approved Name;DTXSID8044464;1,4-Dihydroxyanthracene-9,10-dione;0;OC1=CC=C(O)C2=C1C(=O)C1=C(C=CC=C1)C2=O;C14H8O4;240.214;1,4-dihydroxyanthracene-9,10-dione;1,4-dihydroxyanthracene-9,10-dione;0;NO
1,4-Diisopropylbenzene;Approved Name;DTXSID2026652;1,4-Diisopropylbenzene;0;CC(C)C1=CC=C(C=C1)C(C)C;C12H18;162.276;1,4-di(propan-2-yl)benzene;1,4-di(propan-2-yl)benzene;0;NO
1,4-Naphthoquinone;Approved Name;DTXSID5040704;1,4-Naphthoquinone;0;O=C1C=CC(=O)C2=C1C=CC=C2;C10H6O2;158.156;naphthalene-1,4-dione;naphthalene-1,4-dione;0;NO
1,5,9-Cyclododecatriene;Approved Name;DTXSID8027581;1,5,9-Cyclododecatriene;0;C1CC=CCCC=CCCC=C1;C12H18;162.276;(1Z,5Z,9Z)-cyclododeca-1,5,9-triene;cyclododeca-1,5,9-triene;1;N/A
1,5-Naphthalene diisocyanate;Approved Name;DTXSID8040145;1,5-Naphthalene diisocyanate;0;O=C=NC1=CC=CC2=C(C=CC=C12)N=C=O;C12H6N2O2;210.192;1,5-diisocyanatonaphthalene;1,5-diisocyanatonaphthalene;0;NO
